0 6.80149e+05 1.00000e+00    23 
1 7.07162e+05 1.00000e+00    43 
2 7.19323e+05 1.00000e+00    63 
3 7.25561e+05 1.00000e+00    83 
4 7.29979e+05 1.00000e+00   103 
5 7.34757e+05 1.00000e+00   123 
6 7.39451e+05 1.00000e+00   142 
7 7.44605e+05 1.00000e+00   161 
8 7.50237e+05 1.00000e+00   180 
9 7.56001e+05 1.00000e+00   199 
10 3.14961e+06 3.16614e+00   218 
11 3.19650e+06 1.48879e-02   234 
12 3.21056e+06 4.39957e-03   249 
13 3.21981e+06 2.87980e-03   263 
14 3.22577e+06 1.85310e-03   277 
15 3.23008e+06 1.33553e-03   292 
16 3.23314e+06 9.47363e-04   306 
17 3.23576e+06 8.11492e-04   320 
18 3.23762e+06 5.72857e-04   333 
19 3.23927e+06 5.10752e-04   347 
20 3.24076e+06 4.59392e-04   361 
